id,dex_number,region,slug,description,credit,enabled,catchable,abundance,name.ja,name.ja_r,name.ja_t,name.en,name.en2,name.de,name.fr,type.0,type.1,mythical,legendary,ultra_beast,event,height,weight,evo.to,evo.from,base.hp,base.atk,base.def,base.satk,base.sdef,base.spd,evo.mega,evo.mega_x,evo.mega_y,is_form,form_item
1,1,kanto,bulbasaur,"While it is young, it uses the nutrients that are
stored in the seed on its back in order to grow.",,1,1,512,フシギダネ,Fushigidane,Fushigidane,Bulbasaur,,Bisasam,Bulbizarre,Grass,Poison,,,,,7,69,2,,45,49,49,65,65,45,,,,,
2,2,kanto,ivysaur,"Exposure to sunlight adds to its strength.
Sunlight also makes the bud on its back
grow larger.",,1,1,256,フシギソウ,Fushigisō,Fushigisou,Ivysaur,,Bisaknosp,Herbizarre,Grass,Poison,,,,,10,130,3,1,60,62,63,80,80,60,,,,,
3,3,kanto,venusaur,"Huge amounts of pollen burst from it with the
force of a volcanic eruption. Breathing in too
much of the pollen can cause fainting.",,1,1,96,フシギバナ,Fushigibana,Fushigibana,Venusaur,,Bisaflor,Florizarre,Grass,Poison,,,,,20,1000,,2,80,82,83,100,100,80,10033,,,,
4,4,kanto,charmander,"From the time it is born, a flame burns at the tip
of its tail. Its life would end if the flame were to
go out.",,1,1,512,ヒトカゲ,Hitokage,Hitokage,Charmander,,Glumanda,Salamèche,Fire,,,,,,6,85,5,,39,52,43,60,50,65,,,,,
5,5,kanto,charmeleon,"If it becomes agitated during battle, it spouts
intense flames, incinerating its surroundings.",,1,1,256,リザード,Rizādo,Lizardo,Charmeleon,,Glutexo,Reptincel,Fire,,,,,,11,190,6,4,58,64,58,80,65,80,,,,,
6,6,kanto,charizard,"The flame inside its body burns hotter than
3,600 degrees Fahrenheit. When Charizard
roars, that temperature climbs even higher.",,1,1,96,リザードン,Rizādon,Lizardon,Charizard,,Glurak,Dracaufeu,Fire,Flying,,,,,17,905,,5,78,84,78,109,85,100,,10034,10035,,
7,7,kanto,squirtle,"When it feels threatened, it draws its limbs inside
its shell and sprays water from its mouth.",,1,1,512,ゼニガメ,Zenigame,Zenigame,Squirtle,,Schiggy,Carapuce,Water,,,,,,5,90,8,,44,48,65,50,64,43,,,,,
8,8,kanto,wartortle,"It cleverly controls its furry ears and tail to
maintain its balance while swimming.",,1,1,256,カメール,Kamēru,Kameil,Wartortle,,Schillok,Carabaffe,Water,,,,,,10,225,9,7,59,63,80,65,80,58,,,,,
9,9,kanto,blastoise,"Water fired from this Pokémon’s central main
cannon has enough power to blast a hole into
a mountain.",,1,1,96,カメックス,Kamekkusu,Kamex,Blastoise,,Turtok,Tortank,Water,,,,,,16,855,,8,79,83,100,85,105,78,10036,,,,
10,10,kanto,caterpie,"Its short feet are tipped with suction pads that
enable it to tirelessly climb slopes and walls.",,1,1,1536,キャタピー,Kyatapī,Caterpie,Caterpie,,Raupy,Chenipan,Bug,,,,,,3,29,11,,45,30,35,20,20,45,,,,,
11,11,kanto,metapod,"Even though it is encased in a sturdy shell,
the body inside is tender. It can’t withstand a
harsh attack.",,1,1,384,トランセル,Toranseru,Transel,Metapod,,Safcon,Chrysacier,Bug,,,,,,7,99,12,10,50,20,55,25,25,30,,,,,
